number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size_edges,params_batch_size_pairs,params_batch_size_semantic,params_beta,params_email_reward,params_embedding_mode,params_feat_space_penalty,params_gamma_boundary,params_hashtag_reward,params_lambda_morph,params_max_iterations,params_max_token_len,params_max_tokens,params_merge_reward,params_min_freq,params_morph_gamma,params_morph_k,params_mu_morph,params_ngram_orders,params_optimizer,params_prefix_reward,params_refine_lr,params_refine_steps,params_semantic_iters,params_semantic_lr,params_short_penalty,params_structure_iters,params_structure_lr,params_suffix_reward,params_tau,params_tok_space_penalty,params_top_k_add,params_url_reward,params_use_cross_kl,params_use_dp_eig,params_use_dp_semantic,params_use_iterative_eig,params_use_minibatch,params_use_semantic_consistency,params_use_structure_mapping,params_vocab_budget,user_attrs_identifier_frag,user_attrs_tpc,user_attrs_zipf_div,state
0,0.21879405434631066,2025-11-11 21:16:01.483960,2025-11-11 21:17:25.549376,0 days 00:01:24.065416,0.7339917805043039,,,339,0.15227525095137953,-0.4082977450732831,ppmi,0.18182496720710062,0.013911053916202464,-0.09504871367355244,0.036503833523887946,118,16,17394,0.8661761457749352,7,7.52374288453485e-05,91,0.4879639408647978,2_4,sgd,0.08324426408004218,0.04297256589643226,25,9.0,0.048453441488355176,1.2022300234864176,5.0,0.03579048619304706,0.03185086660174142,2.9380279387035334e-05,0.7080725777960455,47,-0.34787887852023114,False,False,False,False,False,True,True,1557,0.0,0.6129032258064516,0.017461543302187594,COMPLETE
1,0.217065281716607,2025-11-11 21:17:25.550461,2025-11-11 21:18:56.946319,0 days 00:01:31.395858,0.6327387530778792,8907.0,14212.0,849,0.27638457617723067,-0.4295378875126187,ppmi,0.5426960831582485,0.061556316037040225,-0.18508987126404586,0.011049202253484457,80,22,30909,0.045227288910538066,7,0.0027950159165083337,51,0.43149500366077176,2_3_4,sgd,0.035675332669358926,0.07361716094628554,38,,,0.6506606615265287,,,0.042140176453107116,0.00582938454299474,0.388677289689482,55,-0.09890150962298017,False,True,,False,True,False,False,1556,0.0,0.6189516129032258,0.015689898922819637,COMPLETE
